#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.53e+01    2.75e+01      6.28e-01    6.46e-01      7.99e-01    8.70e-01    1.0e-03
    200      6.99e+00    7.61e+00      2.08e-02    2.36e-02      2.45e-01    2.67e-01    8.1e-04
    400      3.84e+00    4.29e+00      3.14e-03    1.23e-04      1.49e-01    1.67e-01    6.6e-04
    600      2.01e+00    3.09e+00      5.72e-02    5.85e-02      8.50e-02    1.32e-01    5.4e-04
    800      2.40e+00    2.46e+00      1.33e-02    1.18e-02      1.14e-01    1.17e-01    4.4e-04
   1000      2.16e+00    2.20e+00      2.00e-02    1.82e-02      1.14e-01    1.16e-01    3.6e-04
   1200      1.75e+00    1.74e+00      1.59e-02    1.57e-02      1.02e-01    1.01e-01    2.9e-04
   1400      1.55e+00    1.87e+00      3.20e-03    4.82e-03      1.00e-01    1.21e-01    2.4e-04
   1600      1.52e+00    1.54e+00      7.90e-03    7.78e-03      1.09e-01    1.11e-01    1.9e-04
   1800      9.38e-01    1.29e+00      6.40e-03    5.02e-03      7.44e-02    1.03e-01    1.6e-04
   2000      1.02e+00    1.09e+00      9.00e-03    8.02e-03      8.97e-02    9.56e-02    1.3e-04
   2200      1.04e+00    1.03e+00      5.46e-03    6.63e-03      1.01e-01    9.98e-02    1.0e-04
   2400      6.23e-01    9.10e-01      4.46e-04    1.55e-04      6.71e-02    9.80e-02    8.5e-05
   2600      7.31e-01    7.58e-01      1.16e-03    1.66e-03      8.71e-02    9.03e-02    6.9e-05
   2800      4.29e-01    7.72e-01      1.31e-03    1.72e-04      5.66e-02    1.02e-01    5.7e-05
   3000      6.73e-01    6.27e-01      3.23e-03    2.88e-03      9.81e-02    9.13e-02    4.6e-05
   3200      6.97e-01    5.40e-01      1.91e-03    2.98e-03      1.12e-01    8.69e-02    3.8e-05
   3400      4.57e-01    4.69e-01      8.52e-04    9.42e-04      8.13e-02    8.35e-02    3.1e-05
   3600      5.25e-01    2.48e-01      1.84e-03    2.33e-04      1.03e-01    4.87e-02    2.5e-05
   3800      4.92e-01    4.35e-01      7.68e-04    5.60e-04      1.07e-01    9.44e-02    2.0e-05
   4000      5.02e-01    3.98e-01      8.34e-04    1.11e-03      1.20e-01    9.50e-02    1.7e-05
   4200      3.00e-01    2.72e-01      1.33e-03    4.50e-04      7.90e-02    7.15e-02    1.3e-05
   4400      3.71e-01    2.21e-01      1.52e-04    9.30e-04      1.07e-01    6.40e-02    1.1e-05
   4600      4.08e-01    3.37e-01      1.48e-03    4.81e-04      1.29e-01    1.07e-01    8.9e-06
   4800      3.15e-01    3.45e-01      1.08e-03    6.22e-04      1.09e-01    1.20e-01    7.3e-06
   5000      2.07e-01    1.69e-01      1.29e-03    7.30e-04      7.85e-02    6.42e-02    5.9e-06
   5200      2.02e-01    2.22e-01      3.78e-04    5.21e-04      8.37e-02    9.20e-02    4.8e-06
   5400      1.90e-01    2.60e-01      7.06e-04    5.85e-04      8.56e-02    1.17e-01    3.9e-06
   5600      1.51e-01    1.84e-01      3.76e-04    8.48e-04      7.36e-02    8.98e-02    3.2e-06
   5800      2.19e-01    1.69e-01      1.03e-03    8.48e-04      1.15e-01    8.90e-02    2.6e-06
   6000      1.60e-01    1.91e-01      5.60e-05    2.07e-03      9.08e-02    1.08e-01    2.1e-06
   6200      1.56e-01    1.78e-01      2.07e-03    2.06e-03      9.35e-02    1.07e-01    1.7e-06
   6400      1.18e-01    1.36e-01      9.58e-04    3.43e-03      7.60e-02    8.52e-02    1.4e-06
   6600      1.39e-01    8.83e-02      4.14e-04    3.71e-04      9.46e-02    6.02e-02    1.1e-06
   6800      1.32e-01    8.01e-02      1.89e-04    1.21e-03      9.49e-02    5.71e-02    9.3e-07
   7000      1.23e-01    1.40e-01      4.33e-04    7.45e-05      9.30e-02    1.06e-01    7.6e-07
   7200      1.05e-01    1.17e-01      1.70e-03    1.91e-03      8.20e-02    9.08e-02    6.2e-07
   7400      1.22e-01    1.14e-01      4.10e-04    7.76e-04      9.92e-02    9.24e-02    5.1e-07
   7600      6.71e-02    1.13e-01      1.16e-04    4.32e-04      5.65e-02    9.54e-02    4.1e-07
   7800      1.06e-01    1.32e-01      8.17e-05    1.97e-03      9.14e-02    1.13e-01    3.4e-07
   8000      1.06e-01    9.51e-02      1.61e-03    1.81e-03      9.28e-02    8.31e-02    2.7e-07
   8200      1.27e-01    1.41e-01      1.75e-03    1.05e-03      1.14e-01    1.28e-01    2.2e-07
   8400      9.94e-02    1.14e-01      9.31e-04    2.15e-04      9.11e-02    1.05e-01    1.8e-07
   8600      1.52e-01    6.90e-02      9.54e-04    1.11e-03      1.42e-01    6.37e-02    1.5e-07
   8800      1.04e-01    7.58e-02      7.34e-04    9.93e-04      9.82e-02    7.11e-02    1.2e-07
   9000      1.24e-01    1.00e-01      1.92e-04    1.66e-03      1.18e-01    9.44e-02    9.8e-08
   9200      1.05e-01    7.70e-02      1.31e-03    1.10e-04      1.01e-01    7.41e-02    8.0e-08
   9400      1.15e-01    1.06e-01      2.42e-03    9.07e-04      1.09e-01    1.02e-01    6.5e-08
   9600      9.73e-02    1.01e-01      8.59e-04    9.39e-04      9.45e-02    9.77e-02    5.3e-08
   9800      7.81e-02    8.15e-02      2.19e-03    1.81e-04      7.41e-02    7.97e-02    4.3e-08
  10000      1.20e-01    6.13e-02      1.68e-03    4.39e-04      1.17e-01    6.01e-02    3.5e-08
